comment,label
"🍀  𝙋𝙆𝙑𝙄𝙉𝘼𝟲𝟳.𝙇𝙄𝙑𝙀 𝙋𝙆𝙑𝙄𝙉𝘼𝟲𝟳.𝙇𝙄𝙑𝙀    ( KO ĐẠI LÝ KO ĐIỀN MÃ GIỚI THIỆU ) 
👑 TRANG QUỐC TẾ CHUYÊN BÓNG ĐÁ ĐẦU TIÊN VÀ ĐƯỢC PHÉP HOẠT ĐỘNG TẠI VIỆT NAM  
❣️ XANH CHÍN - UY TÍN - NẠ.P RÚ.T TIỀ.N TỶ NHANH , 💯 ĐẲNG CẤP QUỐC TẾ 👑
🌾 ĐĂNG KÝ 🍀 𝗣𝗞𝗩𝗡𝟵𝟲.𝗟𝗜𝗙𝗘   𝙋𝙆𝙑𝙉𝟵𝟲.𝙇𝙄𝙁𝙀 🍀   ( KO ĐẠI LÝ KO ĐIỀN MÃ GIỚI THIỆU )  🎁 THƯỞNG NẠP LẦN ĐẦU 8,888K
🏆 ĐẶC BIỆT HOÀN TRẢ THỂ THAO LÊN TỚI 2% 🎁 QUÀ TRI ÂN HÀNG TUẦN 8,888K 🎁 💁 TẶNG 10% NẠP MỖI NGÀY 
🍀 SẢNH XÓC ĐĨA WG XANH CHÍN - MC VIỆT NAM XINH ĐẸP ( KO BỊP NHƯ KUBET )
💁 SẢNH BACCARAT EVO, NỔ HŨ, BẮN CÁ, XÓC ĐĨA HOÀN TRẢ NGÀY CAO NHẤT HIỆN NAY 
☎️ 𝗧𝗘𝗟𝗘𝗚𝗥𝗔𝗠 : @𝙉𝙜𝙤𝙘𝙙𝙞𝙚𝙪𝟳𝟮 ( ẢNH CÓ TÂM HỒN TO TRÒN )
☎️ 𝗧𝗘𝗟𝗘𝗚𝗥𝗔𝗠 : @𝙉𝙜𝙤𝙘𝙡𝙞𝙣𝙝𝟲𝟳𝟵
☎️ 𝗧𝗘𝗟𝗘𝗚𝗥𝗔𝗠 𝗖𝗦𝗞𝗛 : @𝘿𝙞𝙚𝙪𝙡𝙞𝙣𝙝𝟳𝟱𝟮
( 𝗡𝗛𝗜𝗘̂̀𝗨 𝗧𝗘𝗟𝗘𝗚𝗥𝗔𝗠 𝗚𝗜𝗔̉ 𝗠𝗔̣𝗢 𝗔𝗘 𝗖𝗛𝗘𝗖𝗞 𝗞𝗬̃ 𝗡𝗛𝗢́𝗠 𝗧𝗥𝗨̛𝗢̛́𝗖 𝗡𝗛𝗘́ )
1
222222222 222222",neutral
"👉❤️ Chuyên làm B.ằng Cấp - Giấy Tờ các loại  
Zalo.     0565975792
✨ ❤KHÔNG CỌC - Nhận hàng mới thanh toán
✨ ❤Làm CCCD gắn chíp
✨ ❤Làm Ca.vet xe - B.ằng lái xe
✨ ❤Làm B.ằng C.ấp 3, 2  
✨ ❤Làm B.ằng Đại Học, Cao Đẳng,Trung C.ấp 
✨ ❤Làm ch.ứng chỉ Nghề các loại  
✨ ❤Làm ch.ứng chỉ TOEIC, Ielts, CEFR, Topik, HSK, N1-N5
✨ ❤Làm các loại giấy tư p.háp..
✨ ❤Làm Sổ hồng - Sổ đỏ
✅✅✅ cam kết ✅✅✅ 
💥 Làm từ p.hôi thật, t.em thật, m.ộc nổi giáp lai 
💥 Ship COD toàn quốc
💥 Được Kiểm Tra Trước Khi Thanh Toán 
💥 GIÁ RẺ - CẤP TỐC - BẢO MẬT
📩 Nhắn tin để được tư vấn 24/24
Zalo 0565975792",neutral
Thế thì mấy con cá viêm man hết,neutral
Con cá: 🤜🔴🔵🤛🤌🟣👌🗿,neutral
Ảo vl,toxic
Hay đó hahaha,positive
nghệ cả củ nhưng không đủ lm ngyeu e,neutral
"Cảm ơn anh ngày nào cũng giúp đỡ em. Dù biết anh chỉ vài ngày, nhưng em thấy anh ra kèo luôn ổn định, giúp anh em gỡ lại vốn. Xưa em chỉ đánh bóng thích đâu đánh đó, nay mới biết xả kèo, canh rung, canh vốn. Đầu mùa NGOẠI HẠNG ANH đến giờ em lãi đc hơn 7M. Cảm ơn anh rất nhiều, anh rất uy tín và có tâm !
Dương Nam",neutral
hay,positive
"Khi bóng nổ 
Mấy con cá:",neutral
"[Phủ Lý- Hà Nam] Cần tuyển 10 CÔNG NHÂN 
CÔNG TY CP KAMURI HÀ NAM TUYỂN DỤNG  
5 nữ/nam chạy máy DỆT 
5 nam chạy máy SỢI 
10 công nhân MAY 
 Lương khoán theo sản phẩm. Tổng thu nhập 12 - 15.000.000đ 
 Yêu cầu: 
chăm chỉ chịu khó, có thể làm kíp 09 tiếng xoay ca ngày/đêm 
ưu tiên những người đã có kinh nghiệm chạy máy dệt, máy sợi 
học việc 1 tháng nếu chưa có tay nghề 
* CHẾ ĐỘ THƯỞNG ĐẶC BIỆT 
Thưởng công nhân mới từ 600-1500k 
nối thâm niên cho những công nhân cũ quay lại  
hỗ trợ nhà trọ đối vs công nhân ngoại tỉnh :900k 
Hồ sơ xin việc: Sơ yếu lý lịch, CCCD, giấy khám sức khỏe (tất cả đều có xác nhận còn hiệu lực trong vòng 6 tháng) 
Địa chỉ làm việc: KCN Châu Sơn- Phủ Lý- Hà Nam 
Inbox trực tiếp hoặc liên hệ sđt: 0979305294 (Hạnh- bộ phận nhân sự)",neutral
đm lét vl a zai,toxic
Và ông bố khi xem được,neutral
Làm thế thì con đéo nào chả dỗi 🤔,toxic
sao khói có màu hay vậy mấy bro,positive
Xấu Trai Lắm Mồm,negative
Sao ra được nhiều màu vậy ta,neutral
"Hello mấy cả nhà 🫶🏻 sắp tới công ty AIA mình có tài trợ 1 buổi workshop khám sức khoẻ tổng quát miễn phí
Cả nhà có thể dắt người thân ba mẹ, con cái, anh chị đến để có thể trải nghiệm dịch vụ ạ 🍓
Không tốn phí ạ mình chỉ cần book anh grab để đến nơi ạ
Thời gian: 7:30 
Địa điểm: 45A Lý Tự Trọng P. Bến Nghé Q.1 TPHCM
Bạn nào đăng kí cmt bài viết để mình gửi form ạ",neutral
Cbd bao ê cho ae giảm stress ạ ai nhu cầu ủng hộ em gái nha 🥰,negative
Đúng là nghệ thật mà,neutral
Á DÙ GIỐNG VẾT THƯƠNG TAO ZẬY 😫😫😫😭😭😭,neutral
Hận thằng edit làm t ngưỡng mộ,negative
"nhà ôg này cx giàu, mỗi năm 1 cái thận:))",negative
"Bóng bóng nó nổ mấy con cá :
🤤🤤",neutral
mấy con cá ở dưới cbi chuyển màu theo r đó:)),neutral
Tấn Tài hc thổi đi mày =)),neutral
Mấy con cá,neutral
"Video như Lồn‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍g đèn sáng chói , ôi thật lung linh, tuyệt vời!!! Hay! Quả thật là một video vô cùng cảm động, vô cùng ý nghĩa, đã lâu lắm rồi tôi chưa được thấy một status mang đậm tính nhân văn như thế này. Xin chân thành cảm ơn vì đã cho tôi được thấy, được video này, cảm ơn Mark Zuckerberg, người đồng sáng lập ra Facebook, cảm ơn cha mẹ, ông bà tổ tiên của ông và cả nước Mĩ vì đã sinh ra và đào tạo ra một con người xuất sắc như thế này. Để tôi được thấy video này cũng phải gửi lời cảm ơn đến Bill Gates, người đồng sáng lập ra Microsoft Windows XP, cảm ơn cha mẹ ông cũng như người vợ yêu quý của ông, cảm ơn Donald Trump, vị tổng thống nước Mỹ, cảm ơn nhà nước Liên Xô cũ đã giúp Việt Nam xây dựng thành công đập thủy điện Hòa Bình và mang điện đến cho chúng tôi thắp sáng, nấu cơm cũng như sạc điện thoại để chạy ứng dụng Facebook để xem video này, cảm ơn cha mẹ đã sinh ra tôi, nuôi dưỡng tôi, cho tôi được đến trường, cảm ơn các bậc thầy cô giáo đã dạy tôi biết chữ, viết văn làm toán, dạy tôi nên người như ngày hôm nay, cảm ơn thượng đế đã ban cho tôi một đôi mắt sáng để tôi có thể nhìn xem video này, cảm ơn đến Moắc Xoen đã nghiên cứu và tìm ra sóng điện từ, và với bước sóng ngắn có bước sóng lam đa từ 10m - 100m, tần số từ 100Hz đã mang dữ liệu cho video được truyền đi xa hơn. Cảm ơn vụ nổ BigBang đã tạo ra Trái Đất, cảm ơn mẹ thiên nhiên đã ban cho Trái Đất khung cảnh này, cảm ơn tất cả những loài cây trên Trái Đất đã quang hợp lọc không khí để con người có thể hít thở và sống được như ngày hôm nay, cảm ơn Mặt Trời đã soi sáng Trái Đất, giúp cây cối quang hợp và giúp nước bốc hơi tạo thành một chu kì thời tiết như ngày hôm nay, cảm ơn Trái Đất đã rạo ra trọng lực giúp tôi có thể ngồi yên mà xem video này. Cảm ơn ông cha ta đã anh dũng hi sinh để mang lại chiến thắng vẽ vang, cảm ơn Bác Hồ vĩ đại của chúng ta, cảm ơn Đảng, cảm ơn nhà nước, cảm ơn các tổ chức và các cơ quan ban ngành đoàn thể, cảm ơn các cấp lãnh đạo đã lèo lái con thuyền xã hội chủ nghĩa.Cảm ơn đại tướng Võ Nguyên Giáp, vị đại tướng đầu tiên của Việt Nam. Cảm ơn Nữ Oa nương nương, quan âm Bồ Tát và Phật Tổ Như Lai đã cứu khổ chúng sinh. Video này thật ý nghĩa, làm sao để tôi cảm ơn hết được đây, cảm ơn những lập trình viên và nhà phát triển đã tạo ra Laban Key giúp tôi có thể gõ comment này để cảm ơn mọi người, cảm ơn những bạn rảnh háng đã bỏ thời gian quý báu của mình ra để đọc cái comment vớ vẩn, dài hơn Vạn Lý Trường Thành này. Cảm ơn chủ tus đã đăng cái status mang đầy ý nghĩa và đậm tính nhân văn này. Xin cảm ơn tất cả mn và 1 lần nữa cảm ơn vì đọc nó :))",positive
Cam Naq Ng Tthao Người Hay Suy,positive
Mấy con cá kiểu,neutral
"Đẻ xong các bà sẽ thấy, ck nó lạ lắm. Chê vk các kiểu, rất đáng lo luôn đó, tôi trải qua rồi vừa mệt mỏi vừa stress, may mà tìm được chỗ nhỏ Trang Lê  có cái combo đại tu lại vùng kín. Tôi đặt 1 combo về dùng giấu 2 tuần, xong hôm ấy nhẹ nhàng chèo lên trên khiêu gợi hắn , y như rằng bị mùi nước hoa nó kích thích là hắn nhào vô liền, lúc tắt điện dập khuôn thì ta nói cái mặt lão thốn và bất ngờ vì chỗ ấy khít quá,  cứ kêu vk ơi ck sướng xong là dập liên tục chả cần giục, giờ hám vk đỡ phải lo đi ra ngoài ăn vụng",neutral
Nguyễn Phúc Phúc xì ke tuổi gì,negative
Mấy con cá khi nhìn lên,neutral
"Nhiều người nói Dầu Nhật IKO trị Xuất Tinh Sớm hay lắm, ai dùng cũng tăng thời gian quan hệ dc lâu hết, trong group ai Quan hệ nhanh ra thì cứ tìm Dầu Nhật IKO mà sử dụng nhen",positive
"📱📱CẦN TUYỂN CTV  SLL📱📱

👜 C/V : SPAM COMMENT FB 

👤 Y/C : Có STK và Trên 15 tuổi 

💲 Phát Lương Trước 20 Giờ  mỗi ngày - 500k / Ngày

☎️ LH TELEGRAM HD : phutai18 ( có tích xanh✓)

📄📄📄📄📄📄📄📄",negative
"📱📱CẦN TUYỂN CTV  SLL📱📱

👜 C/V : SPAM COMMENT FB 

👤 Y/C : Có STK và Trên 15 tuổi 

💲 Phát Lương Trước 20 Giờ  mỗi ngày - 500k / Ngày

☎️ LH TELEGRAM HD : phutai18 ( có tích xanh✓)

📄📄📄📄📄📄📄📄",negative
Rồi mấy con cá dưới đó nó lấy máy thở ở đâu để cho đỡ nghiền đây haizzz,neutral
mấy con cá kiểu 💀,neutral
Từ đấy mấy con cá bị phê:),neutral
"Buồn cười ông đàn ghita bằng lưỡi,điêu luyện 🤣",negative
"Người ta cỡ này, 2 anh mình cỡ này 🤌 Lưu Hồng Giang Trung Thanh Chương 
Chán lắm cậu ạ, thế mà cứ ham hố Thủy Ji Ji",negative
mấy con cá:,neutral
Quá tuyệt vời,positive
*Mấy con cá*,neutral
"Cảm ơn anh ngày nào cũng giúp đỡ em. Dù biết anh chỉ vài ngày, nhưng em thấy anh ra kèo luôn ổn định, giúp anh em gỡ lại vốn. Xưa em chỉ đánh bóng thích đâu đánh đó, nay mới biết xả kèo, canh rung, canh vốn. Đầu mùa NGOẠI HẠNG ANH đến giờ em lãi đc hơn 7M. Cảm ơn anh rất nhiều, anh rất uy tín và có tâm !
Dương Nam",neutral
vl;,toxic
hay day,positive
Ổng đánh guital thế này thị rách cả lưỡi 😂😂,neutral
"Ê tháng êdit m làm thằng cháu t nó đồi đi mua cái đồ thổi đủ màu giống v kìa,giờ biết mua ở đâu má m",neutral
Nguyễn Thế Minh Hoàng mấy con cá ở dưới kiểu: cũng gọi là phê đấy 😆😆,neutral
"Nếu buồn, hãy tự order cho mình một ly trà sữa. 40% hạnh phúc và 60% vui vẻ.",positive
"Mấy con cá:
- Mầy thấy gì ở trên ko.. tổ tiên mình về đúng ko..🐧",neutral
Mấy con cá dưới nước ☺️,neutral
Mấy con cá kiểu :))),neutral
Kim Yếnkhuc đâu tưởng ku tk Duong dezi to,toxic
Bổng nhiên có đứa bé chạy lại đòi chơi ké☠️,neutral
mấy con cá ở dưới kiểu =))),neutral
Mấy cậu tuổi gi,negative
Diem MyyÁi Nguyên  khúc đầu đẹp kinh khủng 🤡,negative
Con béo chắc chắn là con cái,neutral
"Video như Lồn‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍g đèn sáng chói , ôi thật lung linh, tuyệt vời!!! Hay! Quả thật là một video vô cùng cảm động, vô cùng ý nghĩa, đã lâu lắm rồi tôi chưa được thấy một status mang đậm tính nhân văn như thế này. Xin chân thành cảm ơn vì đã cho tôi được thấy, được video này, cảm ơn Mark Zuckerberg, người đồng sáng lập ra Facebook, cảm ơn cha mẹ, ông bà tổ tiên của ông và cả nước Mĩ vì đã sinh ra và đào tạo ra một con người xuất sắc như thế này. Để tôi được thấy video này cũng phải gửi lời cảm ơn đến Bill Gates, người đồng sáng lập ra Microsoft Windows XP, cảm ơn cha mẹ ông cũng như người vợ yêu quý của ông, cảm ơn Donald Trump, vị tổng thống nước Mỹ, cảm ơn nhà nước Liên Xô cũ đã giúp Việt Nam xây dựng thành công đập thủy điện Hòa Bình và mang điện đến cho chúng tôi thắp sáng, nấu cơm cũng như sạc điện thoại để chạy ứng dụng Facebook để xem video này, cảm ơn cha mẹ đã sinh ra tôi, nuôi dưỡng tôi, cho tôi được đến trường, cảm ơn các bậc thầy cô giáo đã dạy tôi biết chữ, viết văn làm toán, dạy tôi nên người như ngày hôm nay, cảm ơn thượng đế đã ban cho tôi một đôi mắt sáng để tôi có thể nhìn xem video này, cảm ơn đến Moắc Xoen đã nghiên cứu và tìm ra sóng điện từ, và với bước sóng ngắn có bước sóng lam đa từ 10m - 100m, tần số từ 100Hz đã mang dữ liệu cho video được truyền đi xa hơn. Cảm ơn vụ nổ BigBang đã tạo ra Trái Đất, cảm ơn mẹ thiên nhiên đã ban cho Trái Đất khung cảnh này, cảm ơn tất cả những loài cây trên Trái Đất đã quang hợp lọc không khí để con người có thể hít thở và sống được như ngày hôm nay, cảm ơn Mặt Trời đã soi sáng Trái Đất, giúp cây cối quang hợp và giúp nước bốc hơi tạo thành một chu kì thời tiết như ngày hôm nay, cảm ơn Trái Đất đã rạo ra trọng lực giúp tôi có thể ngồi yên mà xem video này. Cảm ơn ông cha ta đã anh dũng hi sinh để mang lại chiến thắng vẽ vang, cảm ơn Bác Hồ vĩ đại của chúng ta, cảm ơn Đảng, cảm ơn nhà nước, cảm ơn các tổ chức và các cơ quan ban ngành đoàn thể, cảm ơn các cấp lãnh đạo đã lèo lái con thuyền xã hội chủ nghĩa.Cảm ơn đại tướng Võ Nguyên Giáp, vị đại tướng đầu tiên của Việt Nam. Cảm ơn Nữ Oa nương nương, quan âm Bồ Tát và Phật Tổ Như Lai đã cứu khổ chúng sinh. Video này thật ý nghĩa, làm sao để tôi cảm ơn hết được đây, cảm ơn những lập trình viên và nhà phát triển đã tạo ra Laban Key giúp tôi có thể gõ comment này để cảm ơn mọi người, cảm ơn những bạn rảnh háng đã bỏ thời gian quý báu của mình ra để đọc cái comment vớ vẩn, dài hơn Vạn Lý Trường Thành này. Cảm ơn chủ tus đã đăng cái status mang đầy ý nghĩa và đậm tính nhân văn này. Xin cảm ơn tất cả mn và 1 lần nữa cảm ơn vì đọc nó :))",positive
Con cá,neutral
mấy con cá trong hồ,neutral
Nguyên Lê chắc mày à con chos,neutral
Xoàii Nonn mua ik e thổi khói vô kk,toxic
TAO ĐÓ 🧐👀,neutral
"đm,cóc nó cũg biết dỗi cơ mà.vãi lều.",toxic
Khúc đàn bằng lưỡi hãy để ý nó không bấm hợp âm mà chỉ gãy đúng 1 dây mà đủ nốt 🤡😈🌚,neutral
Mấy con cá 😵‍💫,neutral
Á đù VÍP VL,toxic
